# Wave/freq Total
3.763649737e+00  0.0000000e+00
3.763674828e+00  0.0000000e+00
3.763699919e+00  0.0000000e+00
3.763725010e+00  0.0000000e+00
3.763750102e+00  0.0000000e+00
3.763775193e+00  0.0000000e+00
3.763800285e+00  0.0000000e+00
3.763825377e+00  0.0000000e+00
3.763850469e+00  0.0000000e+00
3.763875562e+00  0.0000000e+00
3.763900654e+00  0.0000000e+00
3.763925747e+00  0.0000000e+00
3.763950840e+00  0.0000000e+00
3.763975933e+00  0.0000000e+00
3.764001026e+00  0.0000000e+00
3.764026119e+00  0.0000000e+00
3.764051213e+00  0.0000000e+00
3.764076306e+00  0.0000000e+00
3.764101400e+00  0.0000000e+00
3.764126494e+00  0.0000000e+00
3.764151588e+00  0.0000000e+00
3.764176683e+00  0.0000000e+00
3.764201777e+00  0.0000000e+00
3.764226872e+00  0.0000000e+00
3.764251967e+00  0.0000000e+00
3.764277062e+00  0.0000000e+00
3.764302157e+00  0.0000000e+00
3.764327252e+00  0.0000000e+00
3.764352348e+00  0.0000000e+00
3.764377443e+00  0.0000000e+00
3.764402539e+00  0.0000000e+00
3.764427635e+00  0.0000000e+00
3.764452731e+00  0.0000000e+00
3.764477828e+00  0.0000000e+00
3.764502924e+00  0.0000000e+00
3.764528021e+00  0.0000000e+00
3.764553118e+00  0.0000000e+00
3.764578215e+00  0.0000000e+00
3.764603312e+00  0.0000000e+00
3.764628409e+00  0.0000000e+00
3.764653507e+00  0.0000000e+00
3.764678605e+00  0.0000000e+00
3.764703702e+00  0.0000000e+00
3.764728800e+00  0.0000000e+00
3.764753899e+00  0.0000000e+00
3.764778997e+00  0.0000000e+00
3.764804096e+00  0.0000000e+00
3.764829194e+00  0.0000000e+00
3.764854293e+00  0.0000000e+00
3.764879392e+00  0.0000000e+00
3.764904491e+00  0.0000000e+00
3.764929591e+00  0.0000000e+00
3.764954690e+00  0.0000000e+00
3.764979790e+00  0.0000000e+00
3.765004890e+00  0.0000000e+00
3.765029990e+00  0.0000000e+00
3.765055090e+00  0.0000000e+00
3.765080190e+00  0.0000000e+00
3.765105291e+00  0.0000000e+00
3.765130392e+00  0.0000000e+00
3.765155493e+00  0.0000000e+00
3.765180594e+00  0.0000000e+00
3.765205695e+00  0.0000000e+00
3.765230796e+00  0.0000000e+00
3.765255898e+00  0.0000000e+00
3.765280999e+00  0.0000000e+00
3.765306101e+00  0.0000000e+00
3.765331203e+00  0.0000000e+00
3.765356305e+00  0.0000000e+00
3.765381408e+00  0.0000000e+00
3.765406510e+00  0.0000000e+00
3.765431613e+00  0.0000000e+00
3.765456716e+00  0.0000000e+00
3.765481819e+00  0.0000000e+00
3.765506922e+00  0.0000000e+00
3.765532026e+00  0.0000000e+00
3.765557129e+00  0.0000000e+00
3.765582233e+00  0.0000000e+00
3.765607337e+00  0.0000000e+00
3.765632441e+00  0.0000000e+00
3.765657545e+00  0.0000000e+00
3.765682649e+00  0.0000000e+00
3.765707754e+00  0.0000000e+00
3.765732859e+00  0.0000000e+00
3.765757964e+00  0.0000000e+00
3.765783069e+00  0.0000000e+00
3.765808174e+00  0.0000000e+00
3.765833279e+00  0.0000000e+00
3.765858385e+00  0.0000000e+00
3.765883491e+00  0.0000000e+00
3.765908596e+00  0.0000000e+00
3.765933702e+00  0.0000000e+00
3.765958809e+00  0.0000000e+00
3.765983915e+00  0.0000000e+00
3.766009022e+00  0.0000000e+00
3.766034128e+00  0.0000000e+00
3.766059235e+00  0.0000000e+00
3.766084342e+00  0.0000000e+00
3.766109450e+00  0.0000000e+00
3.766134557e+00  0.0000000e+00
3.766159665e+00  0.0000000e+00
3.766184772e+00  0.0000000e+00
3.766209880e+00  0.0000000e+00
3.766234988e+00  0.0000000e+00
3.766260096e+00  0.0000000e+00
3.766285205e+00  0.0000000e+00
3.766310313e+00  0.0000000e+00
3.766335422e+00  0.0000000e+00
3.766360531e+00  0.0000000e+00
3.766385640e+00  0.0000000e+00
3.766410749e+00  0.0000000e+00
3.766435859e+00  0.0000000e+00
3.766460968e+00  0.0000000e+00
3.766486078e+00  0.0000000e+00
3.766511188e+00  0.0000000e+00
3.766536298e+00  0.0000000e+00
3.766561408e+00  0.0000000e+00
3.766586519e+00  0.0000000e+00
3.766611629e+00  0.0000000e+00
3.766636740e+00  0.0000000e+00
3.766661851e+00  0.0000000e+00
3.766686962e+00  0.0000000e+00
3.766712073e+00  0.0000000e+00
3.766737185e+00  0.0000000e+00
3.766762296e+00  0.0000000e+00
3.766787408e+00  0.0000000e+00
3.766812520e+00  0.0000000e+00
3.766837632e+00  0.0000000e+00
3.766862744e+00  0.0000000e+00
3.766887857e+00  0.0000000e+00
3.766912969e+00  0.0000000e+00
3.766938082e+00  0.0000000e+00
3.766963195e+00  0.0000000e+00
3.766988308e+00  0.0000000e+00
3.767013421e+00  0.0000000e+00
3.767038535e+00  0.0000000e+00
3.767063648e+00  0.0000000e+00
3.767088762e+00  0.0000000e+00
3.767113876e+00  0.0000000e+00
3.767138990e+00  0.0000000e+00
3.767164104e+00  0.0000000e+00
3.767189219e+00  0.0000000e+00
3.767214333e+00  0.0000000e+00
3.767239448e+00  0.0000000e+00
3.767264563e+00  0.0000000e+00
3.767289678e+00  0.0000000e+00
3.767314793e+00  0.0000000e+00
3.767339909e+00  0.0000000e+00
3.767365024e+00  0.0000000e+00
3.767390140e+00  0.0000000e+00
3.767415256e+00  0.0000000e+00
3.767440372e+00  0.0000000e+00
3.767465489e+00  0.0000000e+00
3.767490605e+00  0.0000000e+00
3.767515722e+00  0.0000000e+00
3.767540838e+00  0.0000000e+00
3.767565955e+00  0.0000000e+00
3.767591072e+00  0.0000000e+00
3.767616190e+00  0.0000000e+00
3.767641307e+00  0.0000000e+00
3.767666425e+00  0.0000000e+00
3.767691542e+00  0.0000000e+00
3.767716660e+00  0.0000000e+00
3.767741779e+00  0.0000000e+00
3.767766897e+00  0.0000000e+00
3.767792015e+00 1.0271625e-320
3.767817134e+00 1.6107451e-302
3.767842253e+00 6.5263939e-287
3.767867372e+00 1.7583350e-273
3.767892491e+00 7.0547130e-262
3.767917610e+00 1.0144367e-251
3.767942729e+00 6.1913065e-243
3.767967849e+00 2.7019586e-235
3.767992969e+00 1.1295923e-228
3.768018089e+00 8.1543883e-223
3.768043209e+00 9.8936933e-218
3.768068329e+00 2.7412978e-213
3.768093450e+00 2.0540507e-209
3.768118570e+00 4.9865266e-206
3.768143691e+00 3.3318475e-203
3.768168812e+00 1.7485612e-200
3.768193933e+00 3.0947798e-198
3.768219054e+00 2.5883988e-196
3.768244176e+00 1.1051936e-194
3.768269298e+00 2.6180402e-193
3.768294419e+00 3.6142610e-192
3.768319541e+00 3.0988120e-191
3.768344663e+00 1.7869105e-190
3.768369786e+00 7.4767793e-190
3.768394908e+00 2.4602585e-189
3.768420031e+00 7.0419552e-189
3.768445154e+00 1.8486832e-188
3.768470277e+00 4.5615632e-188
3.768495400e+00 1.0683415e-187
3.768520523e+00 2.3806799e-187
3.768545646e+00 5.0496161e-187
3.768570770e+00 1.0195765e-186
3.768595894e+00 1.9597919e-186
3.768621018e+00 3.5863489e-186
3.768646142e+00 6.2484293e-186
3.768671266e+00 1.0365436e-185
3.768696391e+00 1.6372853e-185
3.768721515e+00 2.4626440e-185
3.768746640e+00 3.5272654e-185
3.768771765e+00 4.8111704e-185
3.768796890e+00 6.2496272e-185
3.768822016e+00 7.7314420e-185
3.768847141e+00 9.1091850e-185
3.768872267e+00 1.0221581e-184
3.768897393e+00 1.0923962e-184
3.768922519e+00 1.1119035e-184
3.768947645e+00 1.0778969e-184
3.768972771e+00 9.9519082e-185
3.768997898e+00 8.7508013e-185
3.769023024e+00 7.3281211e-185
3.769048151e+00 5.8442647e-185
3.769073278e+00 4.4386094e-185
3.769098405e+00 3.2101833e-185
3.769123533e+00 2.2108721e-185
3.769148660e+00 1.4498821e-185
3.769173788e+00 9.0535946e-186
3.769198916e+00 5.3828555e-186
3.769224044e+00 3.0471372e-186
3.769249172e+00 1.6422668e-186
3.769274300e+00 8.4266198e-187
3.769299428e+00 4.1163039e-187
3.769324557e+00 1.9142182e-187
3.769349686e+00 8.4735439e-188
3.769374815e+00 3.5681511e-188
